point_x,point_y,longitude,latitude,altitude
4166.0,3978.0,108.9631091667,34.0729247500,567.0
4118.413,2918.5403,108.9630933889,34.0731646667,567.0
3984.7122,3020.069,108.9630946667,34.0731649444,567.0
3175.7017,2594.1128,108.9628530000,34.0732541944,567.0
