point_x,point_y,longitude,latitude,altitude
2805.0,2784.0,108.9636083668,34.0679009129,543.6
2808.8538,2791.3452,108.9636086375,34.0679016625,543.7
2750.1965,1875.246,108.9635738134,34.0680250412,543.5
